City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Leh,IN,34.17,77.58,65.97,29,100,6.51,overcast clouds
324,Isangel,VU,-19.55,169.27,73.51,88,75,4.61,broken clouds
325,Uchiza,PE,-8.46,-76.46,80.83,62,5,0.63,clear sky
326,Inhambane,MZ,-23.86,35.38,65.98,71,99,9.82,overcast clouds
327,Aurillac,FR,44.92,2.45,50.88,98,100,4.61,overcast clouds
328,Cap Malheureux,MU,-19.98,57.61,65.46,81,63,1.99,light rain
329,Stornoway,GB,58.21,-6.39,54.93,92,75,10.36,broken clouds
330,Hirara,JP,24.80,125.28,77.27,88,40,9.22,scattered clouds
331,Kaitangata,NZ,-46.28,169.85,42.42,78,82,15.84,light rain
332,Eyl,SO,7.98,49.82,80.06,58,98,26.6,overcast clouds
333,Ola,RU,59.58,151.28,50.9,97,100,2.82,light rain
334,Sergeyevka,KZ,53.88,67.42,54.55,71,95,5.23,overcast clouds
335,Mackay,AU,-21.15,149.20,67.68,95,100,10.63,moderate rain
336,Maceio,BR,-9.67,-35.74,76.44,83,75,8.05,broken clouds
337,Anito,PH,12.45,125.29,77.81,91,100,8.41,overcast clouds
338,Caravelas,BR,-17.71,-39.25,71.02,88,3,5.3,clear sky
339,Killybegs,IE,54.63,-8.45,53.02,92,91,7.07,overcast clouds
340,Hami,CN,42.80,93.45,84.24,13,0,7.9,clear sky
341,Cravinhos,BR,-21.34,-47.73,74.12,47,0,3.2,clear sky
342,Namibe,AO,-15.20,12.15,67.21,91,25,4.85,scattered clouds
343,Seoul,KR,37.57,126.98,74.77,97,75,4.61,broken clouds
344,Matagami,CA,49.75,-77.63,53.71,94,100,23.02,moderate rain
345,Talgar,KZ,43.30,77.24,73.56,41,75,4.47,light rain
346,Ode,NG,7.79,5.71,69.39,97,99,8.86,overcast clouds
347,Xinye,CN,32.52,112.35,74.07,86,66,5.64,broken clouds
348,Pareora,NZ,-44.49,171.21,37.18,89,2,6.55,clear sky
349,Buchanan,LR,5.88,-10.05,76.82,85,64,9.75,light rain
350,Mandalgovi,MN,45.76,106.27,68.88,44,58,6.51,broken clouds
351,Sharlyk,RU,52.92,54.75,54.68,70,94,3.8,overcast clouds
352,Mirnyy,RU,62.54,113.96,60.24,72,1,2.62,clear sky
353,Arroyo,ES,41.61,-4.80,60.08,59,0,12.66,clear sky
354,Ribera,IT,37.50,13.26,83.26,38,76,6.4,broken clouds
355,Celestun,MX,20.87,-90.40,82.36,74,38,13.8,scattered clouds
356,Erdenet,MN,49.03,104.08,59.83,85,66,1.12,broken clouds
357,Ewo,CG,-0.87,14.82,77.83,52,84,0.6,broken clouds
358,Kathu,TH,7.92,98.33,86.76,82,100,13.24,overcast clouds
359,Srandakan,ID,-7.94,110.25,73.72,89,35,6.69,scattered clouds
360,Deer Lake,CA,49.17,-57.43,73.26,53,100,6.91,overcast clouds
361,Masuguru,TZ,-11.37,38.42,67.59,73,2,3.87,clear sky
362,Sur,OM,22.57,59.53,87.37,69,100,14.09,overcast clouds
363,Jega,NG,12.22,4.38,85.32,50,66,10.25,broken clouds
