City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Anadyr,RU,2022-06-30 04:44:06,64.75,177.4833,52.3,76,40,22.37
217,Mahon,ES,2022-06-30 04:44:07,39.8885,4.2658,68.56,100,20,5.75
218,Ampanihy,MG,2022-06-30 04:44:07,-24.7,44.75,58.93,75,75,5.93
219,Novyy Urengoy,RU,2022-06-30 04:44:07,66.0833,76.6333,63.88,41,37,21.27
220,Ponta Do Sol,PT,2022-06-30 04:44:08,32.6667,-17.1,68.0,69,24,7.38
221,Sitka,US,2022-06-30 04:42:17,57.0531,-135.33,57.09,82,100,9.22
222,Mucuri,BR,2022-06-30 04:44:08,-18.0864,-39.5508,68.13,91,3,9.04
223,Saldanha,ZA,2022-06-30 04:44:09,-33.0117,17.9442,53.65,46,2,16.64
224,Karratha,AU,2022-06-30 04:44:09,-20.7377,116.8463,74.64,28,0,24.25
225,Montrose,US,2022-06-30 04:42:34,38.4166,-108.2673,60.37,63,74,4.0
226,Srivardhan,IN,2022-06-30 04:44:10,18.0333,73.0167,82.74,82,100,9.4
227,Uusikaupunki,FI,2022-06-30 04:44:10,60.8004,21.4084,66.58,86,94,7.92
228,Filadelfia,US,2022-06-30 04:40:09,39.9523,-75.1638,75.02,81,0,6.69
229,Kathmandu,NP,2022-06-30 04:44:12,27.7167,85.3167,77.22,73,75,3.44
230,Yar-Sale,RU,2022-06-30 04:44:12,66.8333,70.8333,53.83,43,97,22.95
231,Aketi,CD,2022-06-30 04:44:13,2.7388,23.7833,68.76,98,88,1.52
232,Yerbogachen,RU,2022-06-30 04:44:13,61.2767,108.0108,76.95,37,3,3.6
233,Walvis Bay,NA,2022-06-30 04:44:14,-22.9575,14.5053,74.08,37,0,24.16
234,Gorontalo,ID,2022-06-30 04:44:14,0.5412,123.0595,86.14,69,89,3.02
235,San Vicente,AR,2022-06-30 04:44:14,-26.6167,-54.1333,42.55,94,0,2.13
236,Clarence Town,AU,2022-06-30 04:44:15,-32.5833,151.7833,63.95,54,48,3.6
237,Pochutla,MX,2022-06-30 04:44:15,15.7432,-96.4661,78.82,90,28,3.71
238,Placerville,US,2022-06-30 04:44:16,38.7296,-120.7986,74.5,38,0,3.44
239,Alto Lucero,MX,2022-06-30 04:44:16,19.6167,-96.7167,65.79,93,34,3.8
240,Ribeira Grande,PT,2022-06-30 04:44:16,38.5167,-28.7,65.93,85,9,5.08
241,Pochinki,RU,2022-06-30 04:44:17,54.6988,44.8668,60.49,64,72,9.86
242,Aksu,CN,2022-06-30 04:44:17,41.1231,80.2644,93.18,16,11,4.27
243,Berlevag,NO,2022-06-30 04:44:18,70.8578,29.0864,53.6,87,100,16.11
244,Tahta,EG,2022-06-30 04:44:18,26.7693,31.5021,83.75,36,0,5.82
245,Yulara,AU,2022-06-30 04:44:18,-25.2406,130.9889,62.06,38,1,16.91
246,Dingle,PH,2022-06-30 04:44:19,10.9995,122.6711,87.84,66,92,13.27
247,Menongue,AO,2022-06-30 04:44:19,-14.6585,17.691,43.63,71,40,2.51
248,Airai,TL,2022-06-30 04:44:20,-8.9266,125.4092,61.79,95,95,1.07
