City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Baker City,US,81.59,clear sky,44.77,-117.83,Bridge Street Inn
627,San Carlos Del Zulia,VE,82.22,broken clouds,9.0,-71.91,Hotel Bolívar
628,Silifke,TR,80.83,clear sky,36.38,33.93,Ayatekla Hotel
636,Amnat Charoen,TH,77.16,overcast clouds,15.92,104.75,หอพักนักศึกษา
640,La Ceiba,HN,84.02,broken clouds,15.76,-86.78,Hotel Art Deco Beach
643,Sao Jose Da Coroa Grande,BR,75.97,light rain,-8.9,-35.15,Crôa Mares Hotel
644,Mastic Beach,US,82.98,scattered clouds,40.77,-72.85,Brushwood House by Smith Point Beach
650,Pemangkat,ID,76.1,overcast clouds,1.17,108.97,Ramah Kost KITA
651,Pandan,PH,80.06,overcast clouds,14.05,124.17,Bonifacio Lodge
652,Yilan,TW,83.91,broken clouds,24.76,121.75,Dar Chen Hotel
657,Urumqi,CN,76.15,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
658,Wana,PK,83.32,clear sky,32.3,69.57,Rest House at Wana Camp
660,Isla Aguada,MX,83.97,overcast clouds,18.78,-91.47,Freedom Shores
662,Praia,CV,75.74,few clouds,14.92,-23.51,LT Aparthotel
668,Auki,SB,81.41,light rain,-8.77,160.7,Auki Motel
678,Kochi,IN,75.02,light rain,9.94,76.26,Trident Hotel Cochin
680,Shenzhen,CN,81.21,overcast clouds,22.55,114.07,Grand Skylight
683,Ugoofaaru,MV,81.57,moderate rain,5.67,73.0,Ungoofaaru Inn
690,Kinablangan,PH,78.55,overcast clouds,7.69,126.55,Morales Eatery and Lodging House
694,Itoman,JP,82.42,heavy intensity rain,26.12,127.67,Southern Beach Hotel & Resort Okinawa
697,Uarini,BR,80.64,broken clouds,-2.99,-65.11,
698,Mangrol,IN,83.53,overcast clouds,21.12,70.12,Hotel The Royal Honours
707,Mongo,TD,79.2,broken clouds,12.18,18.69,البيت مونقو
708,Fairbanks,US,77.59,smoke,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
710,Axim,GH,75.96,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
714,Padampur,IN,83.32,overcast clouds,29.68,73.62,Platinum resort
